figure,panel,role,profile_type,bw_mm,energy_mev,ctc_mm,required_path,status,notes
Figure 2,,5 x bw,peak_normalization,1.2,175,6,data/processed_data/PBP_dataset/FWHM12/175MeV/zpeak_1Darray_ctc60_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1.2,175,6,data/processed_data/PBP_dataset/FWHM12/175MeV/zvalley_1Darray_ctc60_175MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1.2,230,3.6,data/processed_data/PBP_dataset/FWHM12/230MeV/zpeak_1Darray_ctc36_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,1.2,230,3.6,data/processed_data/PBP_dataset/FWHM12/230MeV/zvalley_1Darray_ctc36_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,1.2,230,6,data/processed_data/PBP_dataset/FWHM12/230MeV/zpeak_1Darray_ctc60_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1.2,230,6,data/processed_data/PBP_dataset/FWHM12/230MeV/zvalley_1Darray_ctc60_230MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1.5,50,4.5,data/processed_data/PBP_dataset/FWHM15/50MeV/zpeak_1Darray_ctc45_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,1.5,50,4.5,data/processed_data/PBP_dataset/FWHM15/50MeV/zvalley_1Darray_ctc45_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,peak_normalization,1.5,50,7.5,data/processed_data/PBP_dataset/FWHM15/50MeV/zpeak_1Darray_ctc75_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,5 x bw,valley,1.5,50,7.5,data/processed_data/PBP_dataset/FWHM15/50MeV/zvalley_1Darray_ctc75_50MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,peak_normalization,1.5,125,4.5,data/processed_data/PBP_dataset/FWHM15/125MeV/zpeak_1Darray_ctc45_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
Figure 2,,3 x bw,valley,1.5,125,4.5,data/processed_data/PBP_dataset/FWHM15/125MeV/zvalley_1Darray_ctc45_125MeV.txt,PRESENT,Figure 2 pMBRT PDD case exported from read-only USB PBP raw dose output
